Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand
Nina Harries,Narrowboat Album,"£4,966",3-Aug-21,August,Q2,Midlands,West Northamptonshire,Music,"£15,000 and below"
Notnow Collective,BOSI - R&D of new work & developing new partnership and diversifying practice,"£14,999",3-Aug-21,August,Q2,Midlands,Birmingham,Visual arts,"£15,000 and below"
Spaniel in the Works Theatre Company,9th Stroud Theatre Festival,"£8,500",3-Aug-21,August,Q2,South West,Stroud,Theatre,"£15,000 and below"
Celestial,Celestial X Frome,"£15,000",3-Aug-21,August,Q2,South West,Mendip,Visual arts,"£15,000 and below"
Fiona Ross,Way Out South West,"£14,414",3-Aug-21,August,Q2,South West,Cheltenham,Theatre,"£15,000 and below"
company dazed,Power of the Seasons,"£7,649",3-Aug-21,August,Q2,South West,"Bristol, City of",Dance,"£15,000 and below"
Celine Condorelli,"'Our Silver City, 2094' Sound Piece Commission","£7,450",3-Aug-21,August,Q2,London,Hackney,Visual arts,"£15,000 and below"
Make Mee Studio CIC,The Social Fabric,"£15,000",3-Aug-21,August,Q2,London,Lewisham,Visual arts,"£15,000 and below"
William Sherratt,Creative & Cultural - The TNT Trio,"£14,850",3-Aug-21,August,Q2,Midlands,Newcastle-under-Lyme,Music,"£15,000 and below"
Gail McGarva,Disappearing Lines,"£14,542",3-Aug-21,August,Q2,South West,East Devon,Visual arts,"£15,000 and below"
Saskia Griffiths-Moore,Talent Is Timeless - UK Tour,"£4,900",3-Aug-21,August,Q2,South West,East Devon,Music,"£15,000 and below"
Stav Meishar,Intersectionality R&D: The Barbette Project,"£17,792",3-Aug-21,August,Q2,South West,"Bristol, City of",Theatre,"£15,000 and below"
Ieva Kuniskyte,"Breakfast: Development 2 - research, film, audience engagement packs","£14,995",3-Aug-21,August,Q2,London,Brent,Dance,"£15,000 and below"
Prasanth Palliath,Bollyfemme,"£14,333",3-Aug-21,August,Q2,London,Redbridge,Dance,"£15,000 and below"
Lazarus Theatre Company Limited,Salome Production,"£15,000",3-Aug-21,August,Q2,London,Greenwich,Theatre,"£15,000 and below"
Sean Harris,Homotherium,"£7,000",3-Aug-21,August,Q2,Midlands,Powys,Museums,"£15,000 and below"
Mercurial Arts Limited,Fame Game: A digital immersive theatre experience played through phones,"£15,000",3-Aug-21,August,Q2,Midlands,Coventry,Theatre,"£15,000 and below"
Holly Cullen-Davies,Concerts and podcasts for kids,"£14,995",3-Aug-21,August,Q2,London,Haringey,Music,"£15,000 and below"
Egg Box Theatre,Nested: A sensory story,"£14,819",3-Aug-21,August,Q2,Midlands,Lincoln,Theatre,"£15,000 and below"
Aurora Theatre C.I.C.,Hidden Treasures,"£12,850",3-Aug-21,August,Q2,South West,Stroud,Theatre,"£15,000 and below"
Troy Fairclough,BGI-Theatre,"£14,300",3-Aug-21,August,Q2,London,Lambeth,Theatre,"£15,000 and below"
Elliot Davis,'When I Grow Up' development,"£15,000",3-Aug-21,August,Q2,Midlands,North West Leicestershire,Theatre,"£15,000 and below"
Vision Centre for Actors,Vision Term of Acting,"£14,857",3-Aug-21,August,Q2,Midlands,Sandwell,Theatre,"£15,000 and below"
Gryphon Records,Let My Country Awake Album Launch 2021,"£15,000",3-Aug-21,August,Q2,London,Kensington and Chelsea,Music,"£15,000 and below"
SINCRU,Fenlands' Finest,"£11,783",4-Aug-21,August,Q2,South East,Cambridge,Dance,"£15,000 and below"
Kelly Barnard,There's a Tiger in the Garden,"£3,760",4-Aug-21,August,Q2,South East,Brighton and Hove,Theatre,"£15,000 and below"
The Mill Arts Centre,Reigniting Dance,"£14,999",4-Aug-21,August,Q2,South East,Cherwell,Dance,"£15,000 and below"
Sam Keelan,The Earthbound,"£14,062",4-Aug-21,August,Q2,North,Barnsley,Theatre,"£15,000 and below"
Joanna Callaghan,Goodbye Breasts!,"£15,000",4-Aug-21,August,Q2,South East,Brighton and Hove,Visual arts,"£15,000 and below"
Neon Performing Arts Ltd,House of NEON,"£15,000",4-Aug-21,August,Q2,London,Lambeth,Combined arts,"£15,000 and below"
UNINTERRUPTED,Shouting From The Sidelines,"£14,415",4-Aug-21,August,Q2,South East,Brighton and Hove,Theatre,"£15,000 and below"
Chloe Wade,As She Likes It,"£12,581",4-Aug-21,August,Q2,North,Kirklees,Theatre,"£15,000 and below"
Ella-Bonai Gordon,Marshall AD,"£8,950",4-Aug-21,August,Q2,London,Luton,Music,"£15,000 and below"
Catherine Anne Davies,The Anchoress Live Shows & Album 3,"£14,890",4-Aug-21,August,Q2,South East,Buckinghamshire,Music,"£15,000 and below"
Caroline Streatfield-Chalk,People of the Oxford Rd Reading,"£13,760",4-Aug-21,August,Q2,South East,Reading,Visual arts,"£15,000 and below"
Jane Frost,Fair Trade - Material Matters,"£14,892",4-Aug-21,August,Q2,South East,East Cambridgeshire,Visual arts,"£15,000 and below"
Wesley Stephenson,New Jazz and Improvised Music Recordings,"£9,451",4-Aug-21,August,Q2,North,Newcastle upon Tyne,Music,"£15,000 and below"
Allerdale Borough Council,Allerdale Borough Council,"£15,824",4-Aug-21,August,Q2,North,Allerdale,Combined arts,"£15,000 and below"
Elizabeth Arifien,Taken By the Hand,"£16,500",4-Aug-21,August,Q2,South East,Thanet,Dance,"£15,000 and below"
Yoxford Parish Council,YOXFORD PHOENIX,"£2,280",4-Aug-21,August,Q2,South East,East Suffolk,Combined arts,"£15,000 and below"
Farah Qureshi,Conceptual Cutlery project,"£4,000",4-Aug-21,August,Q2,London,Hounslow,Visual arts,"£15,000 and below"
Huw Williams,Huw V Williams Trio tour,"£5,512",4-Aug-21,August,Q2,South East,St Albans,Music,"£15,000 and below"
Lewis Jobson,"Redcoat: Creation, Preview and Audience Development Project","£15,000",4-Aug-21,August,Q2,North,Northumberland,Theatre,"£15,000 and below"
Lemon House Theatre,New writing night - Behind Closed Doors,"£5,922",4-Aug-21,August,Q2,South East,Canterbury,Theatre,"£15,000 and below"
Mortal Fools,When This Is Over,"£15,000",4-Aug-21,August,Q2,North,Northumberland,Theatre,"£15,000 and below"
Crawley Community Youth Services,Crawley Youth Arts Festival,"£15,000",4-Aug-21,August,Q2,South East,Crawley,Combined arts,"£15,000 and below"
Confidance Limited,Confidance Connect,"£16,745",4-Aug-21,August,Q2,South East,Canterbury,Dance,"£15,000 and below"
Fiona Grady,Connection Points,"£15,000",4-Aug-21,August,Q2,London,Tower Hamlets,Visual arts,"£15,000 and below"
Changing Relations,Let's Talk About Sex!,"£14,999",4-Aug-21,August,Q2,North,County Durham,Combined arts,"£15,000 and below"
Victoria Firth,The Butter Piece,"£10,517",4-Aug-21,August,Q2,North,Kirklees,Theatre,"£15,000 and below"
Blaze Arts,Ignite,"£14,839",4-Aug-21,August,Q2,North,Manchester,Combined arts,"£15,000 and below"
Matt Rogers,is This Live? (R&D),"£14,657",4-Aug-21,August,Q2,North,Leeds,Theatre,"£15,000 and below"
Joy C Martindale,Nice To Meet You,"£14,455",4-Aug-21,August,Q2,South East,Dover,Visual arts,"£15,000 and below"
Mukul and Ghetto Tigers,THE MARRIAGE OF MOLLAH NASRUDDIN,"£14,590",4-Aug-21,August,Q2,London,Tower Hamlets,Theatre,"£15,000 and below"
Pallabi Basak,World of Fantasy,"£14,750",4-Aug-21,August,Q2,London,Southwark,Dance,"£15,000 and below"
Carolyn Lilly,"ADX: Diasporic Dance, an Immersive Symposium","£14,860",4-Aug-21,August,Q2,London,Hammersmith and Fulham,Dance,"£15,000 and below"
Andy Craven-Griffiths,In The Future We Are Astronauts - Research and development,"£9,577",4-Aug-21,August,Q2,North,Leeds,Theatre,"£15,000 and below"
Bar Groisman,Coiled Up R&D,"£14,880",4-Aug-21,August,Q2,South East,Cambridge,Dance,"£15,000 and below"
Louise Fryer,Distopias,"£5,856",4-Aug-21,August,Q2,South East,Babergh,Theatre,"£15,000 and below"
tessa parr,Lads Lads Lads,"£17,364",4-Aug-21,August,Q2,North,Leeds,Theatre,"£15,000 and below"
Ergon Theatre,The Mariner,"£9,741",4-Aug-21,August,Q2,North,Manchester,Theatre,"£15,000 and below"
Abi Patton,Hroswitha of Gandersheim - Workshop,"£12,600",4-Aug-21,August,Q2,London,Lewisham,Theatre,"£15,000 and below"
New Future Collective,One Last Dance For The Single Mothers by Travis Alabanza - R&D (resubmission),"£14,913",4-Aug-21,August,Q2,London,Hackney,Theatre,"£15,000 and below"
Apsara Arts,I saw a god dance,"£15,000",4-Aug-21,August,Q2,London,Croydon,Dance,"£15,000 and below"
Waterside Arts Centre,Greater Manchester Photography Gallery,"£15,000",4-Aug-21,August,Q2,North,Trafford,Visual arts,"£15,000 and below"
arebyte Gallery,2021 Realities (3rd Submission),"£15,000",4-Aug-21,August,Q2,London,Tower Hamlets,Visual arts,"£15,000 and below"
Emma Edmondson,'Made from this Land',"£14,670",4-Aug-21,August,Q2,South East,Southend-on-Sea,Visual arts,"£15,000 and below"
Peckham Digital CIC,Peckham Digital,"£10,794",4-Aug-21,August,Q2,London,Southwark,Visual arts,"£15,000 and below"
Creative Spaces North East C.I.C.,A musical intervention for a community in isolation.,"£15,000",4-Aug-21,August,Q2,North,Newcastle upon Tyne,Music,"£15,000 and below"
Athanasia Kontou,The Styx - a film opera,"£9,981",4-Aug-21,August,Q2,North,Manchester,Combined arts,"£15,000 and below"
William Hearne,Growth of the Silk: 2021 Camden Fringe,"£5,197",4-Aug-21,August,Q2,North,Manchester,Music,"£15,000 and below"
Yan Sui Cheung,Point Nemo,"£16,400",4-Aug-21,August,Q2,South East,Brighton and Hove,Visual arts,"£15,000 and below"
Alicia Meehan,Research & Development (Phase 2)- Alicia Meehan- When Saturn Returns,"£15,000",4-Aug-21,August,Q2,North,Newcastle upon Tyne,Dance,"£15,000 and below"
Bomb Factory Theatre,Bomb Factory Theatre Summer New-Writing Festival,"£11,286",4-Aug-21,August,Q2,London,Islington,Theatre,"£15,000 and below"
Sukayna Powell,Kingdom,"£14,939",4-Aug-21,August,Q2,London,Hackney,Visual arts,"£15,000 and below"
Stacey Atkinson,Stronger Together Dane Project,"£15,000",4-Aug-21,August,Q2,North,Warrington,Dance,"£15,000 and below"
Badapple Theatre Company,More Tales From The Great Wood,"£10,840",4-Aug-21,August,Q2,North,Harrogate,Theatre,"£15,000 and below"
Delight,Delight in Dance,"£20,690",4-Aug-21,August,Q2,South East,Tandridge,Dance,"£15,000 and below"
Hamish Macdougall,Project Alpine Tunnel (We need to talk about fear and death),"£3,000",4-Aug-21,August,Q2,London,Islington,Theatre,"£15,000 and below"
Marek Dorcik,"Marek Dorcik Quintet, Jazz UK Tour September 2021","£5,685",4-Aug-21,August,Q2,London,Redbridge,Music,"£15,000 and below"
wendy houstoun,40 MORE ACTS,"£8,500",4-Aug-21,August,Q2,North,Calderdale,Dance,"£15,000 and below"
Wendy Fransella,Out of Darkness,"£2,025",4-Aug-21,August,Q2,South East,Colchester,Visual arts,"£15,000 and below"
Deen,@Disturbance,"£14,890",4-Aug-21,August,Q2,London,Southwark,Combined arts,"£15,000 and below"
Robert Wilson,Rows and Rows Research and Development,"£11,883",4-Aug-21,August,Q2,North,Copeland,Visual arts,"£15,000 and below"
House Of Ghetto,Black Pride MCR 2021,"£14,995",4-Aug-21,August,Q2,North,Manchester,Dance,"£15,000 and below"
Sarah Richardson,GirlPlay,"£14,913",4-Aug-21,August,Q2,South East,Tandridge,Theatre,"£15,000 and below"
bath magg,bath magg ACE application 2021,"£10,839",4-Aug-21,August,Q2,South East,West Oxfordshire,Literature,"£15,000 and below"
Tim Mann,You Are Important,"£15,500",4-Aug-21,August,Q2,South East,King's Lynn and West Norfolk,Combined arts,"£15,000 and below"
Matt and Phreds Mcr Ltd,Matt and Phreds Club+,"£14,989",4-Aug-21,August,Q2,North,Manchester,Music,Grassroots Music
Sofya Panova,Fresh Lenins promotions - the return of live events,"£14,827",4-Aug-21,August,Q2,South East,Brighton and Hove,Music,Grassroots Music
Tate Gallery,Subject Specialist Network - British Art Network,"£270,000",9-Aug-21,August,Q2,London,Westminster,Museums,National Activity Above £100k
Can You Kick It CIC,Independent Venue Week 2022 and Yes We Can,"£436,550",9-Aug-21,August,Q2,London,Westminster,Music,National Activity Above £100k
John Hansard Gallery,CPR: Co-Creating the Public Realm,"£300,000",9-Aug-21,August,Q2,South West,Southampton,Visual arts,National Activity Above £100k
Portsmouth Creates CIC,We Shine,"£49,657",10-Aug-21,August,Q2,South West,Portsmouth,Combined arts,"Over £15,000"
North Devon Theatres,Beggar's Opera Summer Relaunch Production,"£39,617",10-Aug-21,August,Q2,South West,North Devon,Theatre,"Over £15,000"
Caldmore Village Festival Ltd,Re-kindle the Fire,"£13,870",10-Aug-21,August,Q2,Midlands,Walsall,Combined arts,"£15,000 and below"
Tennesa Young,The Eco-friendly Wedding Theatre Experience,"£20,000",10-Aug-21,August,Q2,Midlands,Birmingham,Theatre,"£15,000 and below"
Wiltshire Museum,Voices from the Devizes Assize Courts,"£14,394",10-Aug-21,August,Q2,South West,Wiltshire,Museums,"£15,000 and below"
Queer Space Bristol CIC,Queer Space Bristol Winter Programme,"£13,413",10-Aug-21,August,Q2,South West,"Bristol, City of",Theatre,"£15,000 and below"
Benedetti Foundation,"BENEDETTI SESSIONS in Saffron Walden & online: participative training & performances for 300 young string-players & 1800+ primary schl children in Essex, Norfolk & W Midlands & 100 of their instrumental & classteachers, led by inspirational violinist Nicola Benedetti & leading professional musicians","£14,990",10-Aug-21,August,Q2,Midlands,South Kesteven,Music,"£15,000 and below"
National Maritime Museum Cornwall Trust,Tattoo commission,"£14,500",10-Aug-21,August,Q2,South West,Cornwall,Visual arts,"£15,000 and below"
Derby Cathedral Chapter,Peace Doves,"£15,000",10-Aug-21,August,Q2,Midlands,Derby,Visual arts,"£15,000 and below"
simon collins,Medusa Mechanique,"£14,990",10-Aug-21,August,Q2,South West,Somerset West and Taunton,Theatre,"£15,000 and below"
Naomi Lane,Same Boat,"£15,000",10-Aug-21,August,Q2,South West,Havant,Theatre,"£15,000 and below"
Eleanor Breeze,Motion Sickness Project Space 2021,"£6,300",10-Aug-21,August,Q2,South East,Cambridge,Visual arts,"£15,000 and below"
Yasmin Berndt,Grandmas House UK Support Tour Dates and Headline Tour Dates in October & November 2021 in correlation with EP release,"£14,557",10-Aug-21,August,Q2,South West,"Bristol, City of",Music,"£15,000 and below"
Christa Harris,Writer's Showcase 2021,"£10,994",10-Aug-21,August,Q2,Midlands,Coventry,Theatre,"£15,000 and below"
The Farm Yard Circus,Tour Booking and Trailer Stage,"£14,996",10-Aug-21,August,Q2,South West,Swindon,Theatre,"£15,000 and below"
Jennifer Hayashi Danns,Beyond The Blood Tide (The Mu Chronicles Book 3),"£4,037",11-Aug-21,August,Q2,North,Liverpool,Literature,"£15,000 and below"
Emma Clark,Ghosts of the Near Future R&D,"£15,000",11-Aug-21,August,Q2,London,Waltham Forest,Theatre,"£15,000 and below"
Brighton Youth Centre,B.Fest 21,"£15,000",11-Aug-21,August,Q2,South East,Brighton and Hove,Combined arts,"£15,000 and below"
Chalk Line Theatre,The Nobodies Autumn Tour,"£15,000",11-Aug-21,August,Q2,South East,Luton,Theatre,"£15,000 and below"
Christopher Williams,Let Spin Tour and Writing Session,"£7,011",11-Aug-21,August,Q2,London,Enfield,Music,"£15,000 and below"
Historic Coventry Trust,Drapers' Hall Staffing,"£45,121",11-Aug-21,August,Q2,London,Coventry,Music,"Over £15,000"
Norfolk County Council Library Service,Stitching Our Stories,"£9,217",11-Aug-21,August,Q2,South East,South Norfolk,Libraries,"£15,000 and below"
Co-relate,Margate Bookie Young Producers,"£8,938",11-Aug-21,August,Q2,South East,Thanet,Combined arts,"£15,000 and below"
Joan Crump,Hartlepool Folk Festival October 2021,"£15,000",11-Aug-21,August,Q2,North,Hartlepool,Combined arts,"£15,000 and below"
Georgina Bromilow,The Big Swing,"£14,500",11-Aug-21,August,Q2,South East,Three Rivers,Music,"£15,000 and below"
Balraj Samrai,Manchester Music Zine,"£9,140",11-Aug-21,August,Q2,North,Manchester,Literature,"£15,000 and below"
Harry Christelis,Contemporary British Jazz Concert Series 2021/22,"£6,639",11-Aug-21,August,Q2,London,Hackney,Music,"£15,000 and below"
archipelago arts collective,Santa Must Die Production,"£16,185",11-Aug-21,August,Q2,North,Manchester,Theatre,"£15,000 and below"
Queercircle,Queercircle Organisational Development,"£15,000",11-Aug-21,August,Q2,London,Haringey,Not discipline specific,"£15,000 and below"
Silvanos Mudzvova,Dissemination information BAME community,"£14,657",11-Aug-21,August,Q2,North,Wigan,Theatre,"£15,000 and below"
Hospital Records,Women In Drum & Bass - Sonic Surgery,"£15,000",11-Aug-21,August,Q2,London,Lambeth,Combined arts,"£15,000 and below"
Heather Bandenburg,National Health Smackdown,"£15,000",11-Aug-21,August,Q2,London,Croydon,Theatre,"£15,000 and below"
Hypha Studios,Hypha Studios at Broadwalk Bristol,"£15,000",11-Aug-21,August,Q2,London,Hackney,Visual arts,"£15,000 and below"
Charlotte Scott,"Women, Witches, and Wonder: working with Shakespeare in Prison","£10,538",11-Aug-21,August,Q2,South East,Oxford,Theatre,"£15,000 and below"
Riccardo Castellani,Join The Din by Ricky Castellani,"£13,905",11-Aug-21,August,Q2,London,Haringey,Music,"£15,000 and below"
The Flying Seagull Project,Creative Communities; Autumn/Winter Workshops and Festivals,"£15,000",11-Aug-21,August,Q2,South East,Uttlesford,Combined arts,"£15,000 and below"
Emma Brand,The Stove - In Person,"£6,932",11-Aug-21,August,Q2,London,Lewisham,Theatre,"£15,000 and below"
Lydia Cottrell,SLAP York Artist Incubation Programme,"£16,475",11-Aug-21,August,Q2,North,York,Dance,"£15,000 and below"
Su Squire,The End of the Road Show,"£14,850",11-Aug-21,August,Q2,South East,Norwich,Theatre,"£15,000 and below"
Morley Arts Festival,Morley Arts Festival Weekender 2021,"£7,000",11-Aug-21,August,Q2,North,Leeds,Combined arts,"£15,000 and below"
Queer House Party,Queer House Party IRL/URL,"£16,820",11-Aug-21,August,Q2,London,Lewisham,Music,"£15,000 and below"
Justin Freeman,Digital Symposium: music and the art of freedom,"£14,900",11-Aug-21,August,Q2,South East,Eastbourne,Music,"£15,000 and below"
Liz Jennings,"Write Time, Write Place","£11,720",11-Aug-21,August,Q2,South East,Canterbury,Literature,"£15,000 and below"
David Mattar,Queer Bodies 2021-2022,"£18,400",11-Aug-21,August,Q2,North,Liverpool,Literature,"£15,000 and below"
William Maynard,Every Thing,"£13,950",11-Aug-21,August,Q2,London,Hackney,Theatre,"£15,000 and below"
Yewande 103,"The Fountain; A New, Visually-Striking Screendance For Audiences Within The New Environment","£21,011",11-Aug-21,August,Q2,London,Lewisham,Dance,"£15,000 and below"
18 Hours Ltd,Journeys Festival of Dance 2021,"£16,000",11-Aug-21,August,Q2,South East,Rother,Dance,"£15,000 and below"
New Diorama,Access Programme - 21/22 Season,"£16,600",11-Aug-21,August,Q2,London,Camden,Theatre,"£15,000 and below"
Juice Magazine CIC,Juice Magazine Issue Two: Mind and Body,"£15,000",11-Aug-21,August,Q2,South East,Waverley,Visual arts,"£15,000 and below"
Jack Lloyd,Making Sense Theatre,"£14,489",11-Aug-21,August,Q2,North,Newcastle upon Tyne,Theatre,"£15,000 and below"
Abingdon Studios,Abingdon Studios 21/22,"£38,919",11-Aug-21,August,Q2,North,Blackpool,Visual arts,"Over £15,000"
Shoot Festival,Shoot Festival 2022,"£104,277",11-Aug-21,August,Q2,Midlands,Coventry,Combined arts,"Over £15,000"
Isle of Wight Area of Outstanding Natural Beauty,Isle of Wight Creative Biosphere,"£100,000",11-Aug-21,August,Q2,South West,Isle of Wight,Not discipline specific,"Over £15,000"
Synergy Theatre Project,Prisoner and Ex-prisoner New Writer Development Programme,"£31,963",11-Aug-21,August,Q2,London,Lambeth,Theatre,"Over £15,000"
Jack Bain,D2C NSCD 2021,"£15,000",11-Aug-21,August,Q2,North,Trafford,Dance,"£15,000 and below"
Drunken Chorus,A Bit Of A Do Festival 2021,"£27,750",11-Aug-21,August,Q2,London,Wandsworth,Theatre,"Over £15,000"
Rendez-Vous dance,The Monocle,"£58,021",11-Aug-21,August,Q2,North,North Tyneside,Dance,"Over £15,000"
Project Auske Ltd,Project Auske development activity,"£14,925",11-Aug-21,August,Q2,North,Manchester,Dance,"£15,000 and below"
Strangeface,The Waiting Room,"£14,527",11-Aug-21,August,Q2,South East,Tunbridge Wells,Theatre,"£15,000 and below"
Jewish Music Institute,Zingt! Primary School Yiddish Song Project,"£3,000",11-Aug-21,August,Q2,London,Camden,Music,"£15,000 and below"
Wakefield Libraries,WordFest 2021,"£40,070",11-Aug-21,August,Q2,North,Wakefield,Libraries,"Over £15,000"
Opal22 Arts,Black Leicester Lives Matter,"£42,528",11-Aug-21,August,Q2,Midlands,Harborough,Combined arts,"Over £15,000"
Salford City Council,Lightwaves December 2021,"£99,950",11-Aug-21,August,Q2,North,Salford,Combined arts,"Over £15,000"
Liverpool Irish Festival,Liverpool Irish Festival 2021 (#LIF2021),"£27,000",11-Aug-21,August,Q2,North,Liverpool,Combined arts,"Over £15,000"
Ri Ri's Dance Academy,Sue and Sita Tour,"£42,760",11-Aug-21,August,Q2,North,Tameside,Theatre,"Over £15,000"
MICHELLE PETERKIN-WALKER,Yore Lens on L8,"£9,949",11-Aug-21,August,Q2,North,Liverpool,Visual arts,"£15,000 and below"
Caitlin Webb-Ellis,Research and development - Rule of Threes + Venus,"£12,551",11-Aug-21,August,Q2,North,Scarborough,Visual arts,"£15,000 and below"
Marsden Jazz Festival,Marsden Jazz Festival 2021—making it happen,"£91,886",11-Aug-21,August,Q2,North,Kirklees,Music,"Over £15,000"
Music and Theatre for All,Lewisham Urban Opera,"£84,382",11-Aug-21,August,Q2,London,Lewisham,Music,"Over £15,000"
TL Universal Events Limited,TL Universal Events Now and Future,"£52,856",11-Aug-21,August,Q2,London,Hackney,Combined arts,"Over £15,000"
Zoe Pilger,YES,"£5,011",11-Aug-21,August,Q2,London,Lambeth,Literature,"£15,000 and below"
Norfolk Street Arts Community Interest Company,New Territory: building back better beyond Covid-19,"£18,330",11-Aug-21,August,Q2,North,Sunderland,Visual arts,"£15,000 and below"
University of Huddersfield,"GRIST 2019 ""Strife""","£14,965",11-Aug-21,August,Q2,North,Kirklees,Literature,"£15,000 and below"
Newcastle Asian Arts and Music,Newcastle Mela 2020,"£46,738",11-Aug-21,August,Q2,North,Newcastle upon Tyne,Combined arts,"Over £15,000"
ASCEL,Reading Pictures Seeing Stories 2021,"£45,000",11-Aug-21,August,Q2,North,Sheffield,Libraries,"Over £15,000"
Constella OperaBallet,Connecting Stars - Phase 2,"£56,954",12-Aug-21,August,Q2,South East,Oxford,Combined arts,"Over £15,000"
Resource Productions,Creative Collective Commissions 2021 to 2022,"£60,000",12-Aug-21,August,Q2,South East,Slough,Visual arts,"Over £15,000"
Alexander Whitley Dance Company,Anti-Body - final creation & initial tour,"£48,990",12-Aug-21,August,Q2,South East,Ipswich,Dance,"Over £15,000"
Verity Coward,A TREE INTENTION,"£14,361",17-Aug-21,August,Q2,London,Islington,Visual arts,"£15,000 and below"
Patrick Lynch,Little Red Riding Hood,"£15,000",17-Aug-21,August,Q2,London,Wandsworth,Theatre,"£15,000 and below"
Akeil Onwukwe-Adamson,Queer Bruk,"£12,981",17-Aug-21,August,Q2,London,Enfield,Music,"£15,000 and below"
The Gramophones Theatre Company,Tarzanna Tour,"£14,961",17-Aug-21,August,Q2,Midlands,Nottingham,Theatre,"£15,000 and below"
Asher Korner,Root 73,"£10,010",17-Aug-21,August,Q2,London,Hackney,Music,"£15,000 and below"
Moongate Productions,Moongate Salons at Omnubus,"£14,645",17-Aug-21,August,Q2,London,Kensington and Chelsea,Combined arts,"£15,000 and below"
Chisato Minamimura,TATTOO X WOMEN R&D,"£19,035",17-Aug-21,August,Q2,London,Westminster,Dance,"£15,000 and below"
Useful Productions,"SABIR - Tea, Textiles and Time","£3,960",17-Aug-21,August,Q2,London,Brent,Visual arts,"£15,000 and below"
London Musical Theatre Orchestra,LMTO Schools Project,"£10,300",17-Aug-21,August,Q2,London,Westminster,Music,"£15,000 and below"
Litehouse Gallery,Velvet Society Fabric,"£14,990",17-Aug-21,August,Q2,London,Hackney,Visual arts,"£15,000 and below"
Emma Hewitt,Flinch UK Tour,"£14,623",17-Aug-21,August,Q2,London,Camden,Theatre,"£15,000 and below"
Darkfield Events ltd,EULOGY Nottingham Touring,"£15,000",17-Aug-21,August,Q2,London,Hackney,Theatre,"£15,000 and below"
Monster Cat Theatre CIO,Monster Cat Theatre CIO 2021/22 Schools Workshops,"£14,850",17-Aug-21,August,Q2,London,Ealing,Theatre,"£15,000 and below"
Sacha Wares,Museum of Austerity,"£16,999",17-Aug-21,August,Q2,London,Islington,Theatre,"£15,000 and below"
ShakeItUp Theatre,Pentonville Prison workshops,"£6,365",17-Aug-21,August,Q2,London,Islington,Theatre,"£15,000 and below"
BAITHAK LIMITED,ReConnect Festival,"£14,950",17-Aug-21,August,Q2,London,Camden,Combined arts,"£15,000 and below"
HighRise,NewGens - The Concrete Jungle Book,"£16,230",17-Aug-21,August,Q2,London,Barnet,Theatre,"£15,000 and below"
Gren Bartley,Common Truths 2,"£15,000",17-Aug-21,August,Q2,Midlands,Dudley,Theatre,"£15,000 and below"
The Big House,Redemption,"£14,955",17-Aug-21,August,Q2,London,Islington,Theatre,"£15,000 and below"
Dominique Le Gendre,A rehearsed reading of Caribbean Art Music,"£13,264",17-Aug-21,August,Q2,London,Islington,Music,"£15,000 and below"
Madula,Creativity & Culture with At-Risk Young People,"£14,959",17-Aug-21,August,Q2,Midlands,Newcastle-under-Lyme,Music,"£15,000 and below"
Haarlem Artspace,Haarlem Artspace Town Gallery,"£16,950",17-Aug-21,August,Q2,Midlands,Derbyshire Dales,Visual arts,"£15,000 and below"
Caribbean UK Community Group,Carnival Celebration,"£15,000",17-Aug-21,August,Q2,London,Lewisham,Combined arts,"£15,000 and below"
Lucy Armah,Medium x6,"£15,000",17-Aug-21,August,Q2,London,Newham,Visual arts,"£15,000 and below"
19th Street Productions,Yes So I Said Yes,"£15,000",17-Aug-21,August,Q2,London,Hammersmith and Fulham,Theatre,"£15,000 and below"
Sara Colman,Sara Colman Band Ink On A PIn,"£14,985",17-Aug-21,August,Q2,Midlands,Birmingham,Music,"£15,000 and below"
Spiritual Records,Spiritual Records Grant 1 Second Re-apply,"£14,967",17-Aug-21,August,Q2,London,Camden,Music,Grassroots Music
Mrs Janet Snedden,Malmesbury Live Arts Foundational Programme,"£13,800",18-Aug-21,August,Q2,South West,Wiltshire,Music,Grassroots Music
Claire Gilbert,Myth of Human Supremacy (R&D),"£15,799",18-Aug-21,August,Q2,South East,Chelmsford,Theatre,"£15,000 and below"
Jazz North East Ltd,Jazz North East - Autumn / Winter Concert and Workshop Series 2021 - 2022,"£14,997",18-Aug-21,August,Q2,North,North Tyneside,Music,"£15,000 and below"
Ceyda Tanc,R&D for KIZLAR Post Covid-19 v2,"£14,880",18-Aug-21,August,Q2,South East,Brighton and Hove,Dance,"£15,000 and below"
The Wardrobe Theatre,"Brand new Wardrobe Theatre production, presented both live and online","£14,916",18-Aug-21,August,Q2,South West,"Bristol, City of",Theatre,"£15,000 and below"
Ashley Holmes,Crucial,"£5,273",18-Aug-21,August,Q2,North,Sheffield,Music,"£15,000 and below"
Hiding Place Theatre,Sophie Tour,"£8,493",18-Aug-21,August,Q2,North,Salford,Theatre,"£15,000 and below"
Daniel Lukehurst,Ta/To/Me Phase 2,"£14,982",18-Aug-21,August,Q2,North,Leeds,Theatre,"£15,000 and below"
Isle of Wight Steam Railway,Isle of Wight Steam Railway,"£15,000",18-Aug-21,August,Q2,South West,Isle of Wight,Museums,"£15,000 and below"
