Recipient,Activity name,Award amount,Award date,Decision Month,Decision quarter,ACE Area,Local authority,Main discipline,Strand,Time-Limited Priority
Steven Wintercroft,Grue 2023,"£15,500",30-Aug-23,August,Q2,North,North Yorkshire,Visual arts,"£30,000 and below",
Mangled Yarn,It's a Wonderful Life 2023,"£11,059",30-Aug-23,August,Q2,South East,Reigate and Banstead,Theatre,"£30,000 and below",
same sky,Burning the Clocks 2023,"£23,000",30-Aug-23,August,Q2,South East,Brighton and Hove,Combined arts,"£30,000 and below",
Dark Horse Theatre,AfterParty,"£28,500",30-Aug-23,August,Q2,North,Kirklees,Theatre,"£30,000 and below",
Ensemble Reza,Reza Connecting Communities,"£29,000",30-Aug-23,August,Q2,South East,Mid Sussex,Music,"£30,000 and below",
Matipo Arts CIC,Asha and the Troll - Applied Research and Development,"£2,275",30-Aug-23,August,Q2,South East,Harlow,Theatre,"£30,000 and below",
TrashArts,Open Ya Mouth Festival of Culture,"£80,000",5-Sep-23,September,Q2,South West,Portsmouth,Combined arts,"Above £30,000",
Endelienta,North Cornwall Get Creative,"£49,963",5-Sep-23,September,Q2,South West,Cornwall,Literature,"Above £30,000",
Awkward City,R&D,"£12,955",6-Sep-23,September,Q2,London,County Durham,Theatre,"£30,000 and below",
Whiddon Autumn Festival,Whiddon Autumn Festival 2023,"£5,000",6-Sep-23,September,Q2,South West,West Devon,Music,"£30,000 and below",
District Musicians CIC,Pocket full of starlight : Embedding and developing specialised Music in Healthcare practice for people living with dementia,"£70,160",6-Sep-23,September,Q2,Midlands,Nottingham,Music,"Above £30,000",
Kat Anderson,'Episodes of Horror - The Mark of Cane' Work Production,"£37,900",6-Sep-23,September,Q2,South West,"Bristol, City of",Visual arts,"£30,000 and below",
Lightbox Theatre Productions,Cake & Create,"£4,800",6-Sep-23,September,Q2,South West,"Bristol, City of",Combined arts,"£30,000 and below",
Hereford BID,Ferrous Festival 2024,"£69,850",6-Sep-23,September,Q2,Midlands,"Herefordshire, County of",Visual arts,"Above £30,000",
Sheba Soul Ensemble,Dancing with shadows,"£16,500",6-Sep-23,September,Q2,South West,"Bristol, City of",Combined arts,"£30,000 and below",
Our Big Picture Limited,Arts and creativity at the heart of our community 2023-2024,"£96,951",6-Sep-23,September,Q2,North,North East Lincolnshire,Combined arts,"Above £30,000",
Naomi Alexander,Let's Create: Do we know how to? 2nd Application,"£20,000",6-Sep-23,September,Q2,South East,Brighton and Hove,Theatre,"£30,000 and below",
St John's Winchester,The Fabric of Winchester,"£15,000",6-Sep-23,September,Q2,South West,Winchester,Visual arts,"£30,000 and below",
Hastings International Piano,Hastings International Piano 2024-2025 School Engagement and Artist Development,"£29,500",6-Sep-23,September,Q2,South East,Hastings,Music,"£30,000 and below",
formidAbility,Song in Sign Concerts & Workshops: formidable disability-led opera changing the sector,"£154,720",6-Sep-23,September,Q2,South East,Three Rivers,Music,"Above £30,000",
Living Song CIC,Artists Approach 2,"£29,742",6-Sep-23,September,Q2,South East,Uttlesford,Music,"£30,000 and below",
HMM Arts Ltd (The Hive),Amplify,"£39,996",6-Sep-23,September,Q2,Midlands,Shropshire,Music,"Above £30,000",Supporting Grassroots Live Music
Shaw Education Trust,Young Curators,"£22,990",6-Sep-23,September,Q2,Midlands,Newcastle-under-Lyme,Visual arts,"£30,000 and below",
Tabitha Lamb,Queer Island R&D,"£30,850",6-Sep-23,September,Q2,Midlands,West Northamptonshire,Theatre,"£30,000 and below",
Roots,Filth! R&D,"£30,800",6-Sep-23,September,Q2,North,North Yorkshire,Theatre,"£30,000 and below",
Dan Berry,Graphic novel show and tell -live sequencial art performances,"£4,192",6-Sep-23,September,Q2,Midlands,Shropshire,Visual arts,"£30,000 and below",
London International Animation Festival,London International Animation Festival 2023 - re-submission,"£29,828",6-Sep-23,September,Q2,London,Hackney,Visual arts,"£30,000 and below",
The Alternative Conservatoire,The Alternative Conservatoire (Resubmission),"£27,439",6-Sep-23,September,Q2,London,Camden,Music,"£30,000 and below",
Yusef Lewis,End of the Weak England,"£17,337",6-Sep-23,September,Q2,London,Brent,Music,"£30,000 and below",Supporting Grassroots Live Music
Raze Collective,Raze Winter 23/24,"£62,635",6-Sep-23,September,Q2,London,Hackney,Combined arts,"Above £30,000",
Edie Edmundson,The Whale’s Tale Phase 2 R&D,"£21,958",6-Sep-23,September,Q2,London,Tower Hamlets,Theatre,"£30,000 and below",
Wigan Council,Light Night Wigan and Leigh,"£75,000",6-Sep-23,September,Q2,North,Wigan,Visual arts,"Above £30,000",
Pitzhanger Manor & Gallery Trust,Pitzhanger Manor & Gallery: Inspiring Creativity,"£11,635",6-Sep-23,September,Q2,London,Ealing,Visual arts,"£30,000 and below",
Rawd Ltd,RAWD Reaches: Facilitation Training Programme & Org Development,"£87,935",6-Sep-23,September,Q2,North,Liverpool,Theatre,"Above £30,000",
Joan Crump,Hartlepool Folk & Family Festival 2023,"£30,000",6-Sep-23,September,Q2,North,Hartlepool,Music,"£30,000 and below",
Stirchley Snowflake Festival,Citizen Stirchley 24,"£95,470",6-Sep-23,September,Q2,Midlands,Birmingham,Visual arts,"Above £30,000",
LittleMighty Ltd,Unhomely Making Project,"£54,470",6-Sep-23,September,Q2,North,Leeds,Theatre,"£30,000 and below",
Frosty Canvas Community Interest Company,29930,"£29,930",6-Sep-23,September,Q2,Midlands,Birmingham,Literature,"£30,000 and below",
Elizabeth Hingley,The South West SIM Project,"£24,954",6-Sep-23,September,Q2,Midlands,Birmingham,Visual arts,"£30,000 and below",
The Edge,Manchester’s Theatre for Participation: Organisational Development,"£39,709",6-Sep-23,September,Q2,North,Manchester,Theatre,"Above £30,000",
Hayley Greggs,R&D: Shattered,"£21,155",6-Sep-23,September,Q2,North,Liverpool,Theatre,"£30,000 and below",
Eska Mtungwazi,Woman & Machine - Origination and Premiere,"£51,899",6-Sep-23,September,Q2,London,Southwark,Music,"Above £30,000",
DanceHubCIC,Crawley levelling up through Dance,"£67,186",6-Sep-23,September,Q2,South East,Mid Sussex,Dance,"Above £30,000",
Cambridge Jazz Festival C.I.C.,Cambridge Jazz Festival 2023,"£30,000",6-Sep-23,September,Q2,South East,Cambridge,Music,"£30,000 and below",
Find Your Voice,Academic year 23-24,"£63,815",6-Sep-23,September,Q2,North,Doncaster,Music,"Above £30,000",
Spymonkey,"Resubmission - The Frogs: an accessible, relevant & environmentally responsible show","£33,268",6-Sep-23,September,Q2,South East,Worthing,Theatre,"£30,000 and below",
Benjamin Elliott,Blue Badge Bunch THREE,"£27,251",6-Sep-23,September,Q2,Midlands,Ashfield,Combined arts,"£30,000 and below",
Jennifer Tuckett,Women in Theatre Lab,"£30,000",6-Sep-23,September,Q2,South East,Guildford,Theatre,"£30,000 and below",
Northern Opera Group,Leeds Opera Festival 2024,"£60,000",6-Sep-23,September,Q2,North,Leeds,Music,"Above £30,000",
Milton Keynes Council,Creative Journeys from Alchemy to Chemistry,"£26,860",12-Sep-23,September,Q2,South East,Milton Keynes,Combined arts,"£30,000 and below",
Folkestone New Music,Living Music,"£26,647",12-Sep-23,September,Q2,South East,Folkestone and Hythe,Music,"£30,000 and below",
Kate Sumpter,SPIN,"£3,266",12-Sep-23,September,Q2,South West,Cotswold,Theatre,"£30,000 and below",
Debbie Sharp,From Flowers ( Dreaming of Lamorna ),"£8,114",12-Sep-23,September,Q2,South West,Cornwall,Visual arts,"£30,000 and below",
Abigail Reynolds,Core,"£13,850",12-Sep-23,September,Q2,South West,Cornwall,Visual arts,"£30,000 and below",
Julia Thorneycroft,Full Bloom 2024,"£25,312",12-Sep-23,September,Q2,South West,"Bristol, City of",Dance,"£30,000 and below",
Beat Routes,Fresh Palettes,"£29,838",12-Sep-23,September,Q2,South East,Slough,Visual arts,"£30,000 and below",
Note Weavers,Creative Cultural Partnerships,"£18,835",13-Sep-23,September,Q2,North,Blackburn with Darwen,Music,"£30,000 and below",
Charlotte East,The King Stone R&D,"£25,046",13-Sep-23,September,Q2,Midlands,Chesterfield,Theatre,"£30,000 and below",
Muenda Kamara,Bruk Pocket (An Immigrants Tale),"£25,567",13-Sep-23,September,Q2,Midlands,North West Leicestershire,Combined arts,"£30,000 and below",
Paulina Lenoir Guajardo,Fool's Moon,"£31,520",13-Sep-23,September,Q2,London,Waltham Forest,Theatre,"£30,000 and below",
Karen Rann,Making Place: creative responses to heritage,"£15,570",13-Sep-23,September,Q2,North,Gateshead,Visual arts,"£30,000 and below",
David Tuffnell,Our Karen - Rainy Days and Mondays R&D,"£18,639",13-Sep-23,September,Q2,North,Middlesbrough,Theatre,"£30,000 and below",
Ashley Holmes,Skylarking,"£28,460",13-Sep-23,September,Q2,North,Sheffield,Visual arts,"£30,000 and below",
Antonio Ssebuuma,Lubugo (Backcloth) - Research and Development,"£23,940",13-Sep-23,September,Q2,North,Leeds,Dance,"£30,000 and below",
Elisabeth McHugh,Fishing Net Soul - R&D,"£13,199",13-Sep-23,September,Q2,North,Bradford,Theatre,"£30,000 and below",
Anna Straczynska,Mission Earth- interactive dance performances in Croydon Libraries,"£29,530",13-Sep-23,September,Q2,London,Bromley,Libraries,"£30,000 and below",
Therapeutic productions,Prodigal Monster,"£5,000",13-Sep-23,September,Q2,London,Hammersmith and Fulham,Music,"£30,000 and below",
Tisna Westerhof,The Open Door,"£17,307",13-Sep-23,September,Q2,London,Lewisham,Visual arts,"£30,000 and below",
Playing ON,Raising The Roof Lewisham - Resubmission,"£20,631",13-Sep-23,September,Q2,London,Lewisham,Theatre,"£30,000 and below",
Amir Shoenfeld,R&D for Otto Weidt’s Brush & Broom Workshop for the Blind,"£11,659",13-Sep-23,September,Q2,London,Bromley,Theatre,"£30,000 and below",
Tolu Agbelusi,Young Poets' Symposium in Collaboration with the Forward Prize,"£9,000",13-Sep-23,September,Q2,London,Bromley,Literature,"£30,000 and below",
Nick Murray,Virtual Textual: Interactive and Playful Poetry Exhibition,"£17,661",13-Sep-23,September,Q2,London,Barnet,Literature,"£30,000 and below",
GA Wielebinski,"The Red Sun is High, The Blue Low - Public Prog","£16,000",13-Sep-23,September,Q2,London,Hackney,Visual arts,"£30,000 and below",
Intercultured Festival CIC,Intercultured Festival 2023 Take 2,"£21,000",13-Sep-23,September,Q2,North,Bradford,Combined arts,"£30,000 and below",
University of Wolverhampton,'Care and Wellbeing for Musicians Working in Challenging Settings: Organisational Ethnographies Project,"£29,917",13-Sep-23,September,Q2,Midlands,Wolverhampton,Music,"£30,000 and below",
University of Leicester,Queer Heritage and Collections Network,"£130,574",15-Sep-23,September,Q2,Midlands,Leicester,Museums,"Above £30,000 - Nationally Significant project",Unlocking Collections
Neon Dance,Organisation Development; Local & International Activity,"£73,810",19-Sep-23,September,Q2,South West,Swindon,Dance,"Above £30,000",
When Women Gather,Voices of Identity II - a Cultural Exchange with Mansfield,"£22,700",19-Sep-23,September,Q2,Midlands,Nottingham,Combined arts,"£30,000 and below",
VoiceChoice,Extending Reach,"£23,755",19-Sep-23,September,Q2,Midlands,Nottingham,Music,"£30,000 and below",
Boston Borough Council,Boston Tea Party,"£30,000",19-Sep-23,September,Q2,Midlands,Boston,Combined arts,"£30,000 and below",
Blackstage Pole,Blackstage Presents Community (2024),"£50,000",19-Sep-23,September,Q2,London,Bromley,Dance,"Above £30,000",
Elizabeth Drury,Resubmission: Megalith Art & Heritage Cross-Sector Project,"£49,990",19-Sep-23,September,Q2,London,Lewisham,Visual arts,"Above £30,000",
Abda Khan,Tappay Tales Part 2,"£19,295",19-Sep-23,September,Q2,Midlands,Solihull,Literature,"£30,000 and below",
Paul Andrew Burston,Polari Prize National Showcase,"£64,000",19-Sep-23,September,Q2,London,Lambeth,Literature,"Above £30,000",
Paul Smith,Animate,"£17,297",19-Sep-23,September,Q2,Midlands,South Derbyshire,Combined arts,"£30,000 and below",
Patience Agbo,Through It All: Afro Dance Theatre,"£29,790",20-Sep-23,September,Q2,London,Brent,Dance,"£30,000 and below",
West of England Combined Authority,Place Partnership,"£1,000,000",20-Sep-23,September,Q2,South West,"Bristol, City of",Not discipline specific,"Above £30,000 - Place Partnership project",NULL
Human Hive,Crawley Co-Creates,"£32,867",20-Sep-23,September,Q2,South East,Adur,Music,"£30,000 and below",
Edward Jessen,Plantation-A,"£29,652",20-Sep-23,September,Q2,South West,Wiltshire,Music,"£30,000 and below",
Play for Progress,"Record, Arrange and Write","£30,000",20-Sep-23,September,Q2,London,Tower Hamlets,Music,"£30,000 and below",
Strange Cargo,The Resident Platform,"£29,500",20-Sep-23,September,Q2,South East,Folkestone and Hythe,Visual arts,"£30,000 and below",
Jon Lock,Afterlife Inc. - Imitation of Life,"£21,235",20-Sep-23,September,Q2,South West,Gloucester,Visual arts,"£30,000 and below",
The WOW Foundation,The WOW (Women of the World) Girls Festival on tour,"£27,210",20-Sep-23,September,Q2,London,Camden,Combined arts,"£30,000 and below",
Ashford Place,SHOUT Liverpool,"£28,500",20-Sep-23,September,Q2,London,Brent,Combined arts,"£30,000 and below",
Kazimir Bielecki,individualism_EYJ_23_T2,"£33,000",20-Sep-23,September,Q2,London,Enfield,Visual arts,"£30,000 and below",
Grand Union Music Theatre Ltd,Mystics and Master Drummers,"£24,886",20-Sep-23,September,Q2,London,Tower Hamlets,Music,"£30,000 and below",
Silver Press,Ecologies of Justice,"£28,659",20-Sep-23,September,Q2,London,Hackney,Literature,"£30,000 and below",
Reel Rebels Radio,"If Mi Nuh Laugh, Mi Cry: Hackney Art-Activism Festival","£29,620",20-Sep-23,September,Q2,London,Hackney,Visual arts,"£30,000 and below",
Stephanie Townsend,Moving Forwards - Development Programme for East Anglian Movement artists (Resubmission July 2023),"£18,940",20-Sep-23,September,Q2,South East,Norwich,Dance,"£30,000 and below",
Sammy Trotman,That's Not My Name: Tour and Facilitation of Neurodivergent Work,"£32,090",20-Sep-23,September,Q2,South East,South Oxfordshire,Theatre,"£30,000 and below",
Luminelle,Kindred,"£29,929",20-Sep-23,September,Q2,South East,Oxford,Dance,"£30,000 and below",
Atelier Armonico CIC,Living Seams,"£28,000",20-Sep-23,September,Q2,South East,Rother,Theatre,"£30,000 and below",
Bryony Kimmings Ltd,Soil & Water - Production,"£77,369",20-Sep-23,September,Q2,London,Wealden,Theatre,"Above £30,000",
Storytale Festival CIC,Storytale Festival 2023,"£9,835",20-Sep-23,September,Q2,South West,"Bristol, City of",Literature,"£30,000 and below",
Becoming Mums,Empowered Motherhood,"£29,700",20-Sep-23,September,Q2,South East,Wokingham,Combined arts,"£30,000 and below",
Creative Harbour,Sanctuary,"£29,448",20-Sep-23,September,Q2,South West,Portsmouth,Combined arts,"£30,000 and below",
Eastbourne Studio Pottery,Let's Cr-eat-e together,"£29,985",20-Sep-23,September,Q2,South East,Eastbourne,Visual arts,"£30,000 and below",
Portsmouth Creates CIC,Portsmouth Creates CIC,"£650,000",20-Sep-23,September,Q2,South West,Portsmouth,Not discipline specific,"Above £30,000 - Place Partnership project",NULL
Groundlings Theatre,Community Development Project 2024,"£30,000",20-Sep-23,September,Q2,South West,Portsmouth,Theatre,"£30,000 and below",
Goofus Theatre CIC,Reach through Winter,"£27,912",21-Sep-23,September,Q2,North,Cheshire East,Theatre,"£30,000 and below",
Front Room WSM,Front Room Community Theatre Project,"£70,000",21-Sep-23,September,Q2,South West,North Somerset,Theatre,"Above £30,000",
British Arts Festivals Association,Festivals Mean Business 4,"£62,142",21-Sep-23,September,Q2,Midlands,"Herefordshire, County of",Combined arts,"Above £30,000",
Beat Productions,"Lost in the Beat, The Power of Music","£22,520",21-Sep-23,September,Q2,North,Cheshire East,Theatre,"£30,000 and below",
Skylight Circus Arts,Sparrow Hill Stories,"£48,150",21-Sep-23,September,Q2,North,Rochdale,Theatre,"Above £30,000",
Steve Phillips,Hip Hop @ 50,"£100,000",21-Sep-23,September,Q2,London,Merton,Combined arts,"Above £30,000 - Over £30k Touring project",
Akademi,Plastic Drastic Fantastic Tour 2023,"£54,631",21-Sep-23,September,Q2,London,Camden,Dance,"Above £30,000 - Over £30k Touring project",
Moreno Solinas,KARRASEKARE - 2023 / 24 UK and international tour,"£46,338",21-Sep-23,September,Q2,London,Camden,Dance,"Above £30,000 - Over £30k Touring project",
Chris Thorpe,A Family Business: Remount & Touring,"£77,960",21-Sep-23,September,Q2,North,Manchester,Theatre,"Above £30,000 - Over £30k Touring project",
Girls I Rate,Future Hitmakers Masterclass Tour,"£34,682",21-Sep-23,September,Q2,London,Harrow,Music,"Above £30,000 - Over £30k Touring project",
Meraki Liverpool,Meraki Liverpool LTD,"£26,998",21-Sep-23,September,Q2,North,Liverpool,Music,"£30,000 and below",Supporting Grassroots Live Music
Hannah Murphy,Gamble National Tour 2024,"£52,200",21-Sep-23,September,Q2,North,Newcastle upon Tyne,Theatre,"Above £30,000 - Over £30k Touring project",
Moving Parts Arts CIO,Newcastle Puppetry Festival 2024,"£89,000",21-Sep-23,September,Q2,North,Newcastle upon Tyne,Theatre,"Above £30,000",
Flexus Dance Collective,AATF AMPLIFIED,"£55,371",21-Sep-23,September,Q2,Midlands,Wolverhampton,Dance,"Above £30,000",
Glow Create CIC,Beauty Between Cracks: exploring urban Elswick through photography and cyanotype,"£12,970",21-Sep-23,September,Q2,North,Newcastle upon Tyne,Visual arts,"£30,000 and below",
Alasdair Pidsley,The Speed of Wood Development,"£17,099",21-Sep-23,September,Q2,North,Leeds,Combined arts,"£30,000 and below",
Chloe Wade,As SHE Likes It: 2024 Tour,"£63,676",21-Sep-23,September,Q2,North,Kirklees,Theatre,"Above £30,000 - Over £30k Touring project",
Beth Knight,Mother of the Revolution Production,"£85,587",21-Sep-23,September,Q2,North,Sheffield,Theatre,"Above £30,000",
Georgina Stone,The Blanket Fort Club,"£29,950",21-Sep-23,September,Q2,North,Sheffield,Theatre,"£30,000 and below",
Alphabetti Theatre,The Brolly Season 24,"£90,000",21-Sep-23,September,Q2,North,Newcastle upon Tyne,Theatre,"Above £30,000",
Culture Warrington,Warrington's Place Partnership project,"£600,000",21-Sep-23,September,Q2,North,Warrington,Combined arts,"Above £30,000 - Place Partnership project",NULL
The Poetry Business,Poetry – next generations,"£73,848",21-Sep-23,September,Q2,North,Sheffield,Literature,"Above £30,000",
Erica Mulkern,"Suzy Homemaker, Creation & Testing","£29,793",21-Sep-23,September,Q2,North,Kirklees,Dance,"£30,000 and below",
Centrala CIC,Hybrid Landscapes,"£100,000",21-Sep-23,September,Q2,Midlands,Birmingham,Visual arts,"Above £30,000",
Hubbub Theatre Company,Get Involved,"£107,899",21-Sep-23,September,Q2,Midlands,Derby,Theatre,"Above £30,000",
Simon Porter,The Big Dinosaur Show Premiere & Tour,"£43,914",21-Sep-23,September,Q2,South East,Windsor and Maidenhead,Literature,"Above £30,000 - Over £30k Touring project",
MAKEAMPLIFY LTD,Colouring In. Development & Creation of New CYP Early Years Digital Interactive show,"£34,800",26-Sep-23,September,Q2,South East,Worthing,Combined arts,"£30,000 and below",
DSCVR CREATIVE,Find Your Sound,"£15,000",26-Sep-23,September,Q2,South East,Buckinghamshire,Music,"£30,000 and below",
School of Arts,Performing International Plays - School Workshops,"£24,298",26-Sep-23,September,Q2,South East,Canterbury,Theatre,"£30,000 and below",
Mellissa Monsoon,Sense of Stigma,"£31,839",26-Sep-23,September,Q2,South East,Thanet,Visual arts,"£30,000 and below",
Miriam Schechter,HESTIA Community Space Takeover,"£14,988",26-Sep-23,September,Q2,South East,Cambridge,Combined arts,"£30,000 and below",
Colchester Mercury Theatre Ltd.,Mercury Creatives 2.0,"£360,000",26-Sep-23,September,Q2,South East,Colchester,Theatre,"Above £30,000 - Place Partnership project",NULL
Hester Chillingworth,"Monster Show  - Camden People's Theatre, October 2023","£16,933",26-Sep-23,September,Q2,South East,Thanet,Theatre,"£30,000 and below",
Phoene Cave,TRANSIT EASTBOURNE : Developing Creative Collective,"£29,125",26-Sep-23,September,Q2,South East,Eastbourne,Combined arts,"£30,000 and below",
James Ball,Win a million,"£15,139",26-Sep-23,September,Q2,South East,St Albans,Theatre,"£30,000 and below",
Pride Theatre Productions,Ross and Freddie Community Theatre Project,"£5,500",26-Sep-23,September,Q2,South East,Braintree,Theatre,"£30,000 and below",
mandy parker sharp,Black British Heritage,"£4,985",26-Sep-23,September,Q2,South East,Rother,Museums,"£30,000 and below",
Harry Dodson,Outer Town Festival,"£6,000",26-Sep-23,September,Q2,South East,South Oxfordshire,Music,"£30,000 and below",Supporting Grassroots Live Music
Joshua Lewis,"Lose the Path, Find Your Way R&D","£9,455",26-Sep-23,September,Q2,South East,Central Bedfordshire,Theatre,"£30,000 and below",
Sofya Panova,Quality Live Music events for all generations. Project continuation.,"£23,280",26-Sep-23,September,Q2,South East,Brighton and Hove,Music,"£30,000 and below",Supporting Grassroots Live Music
Jack Kelly,PLANT R&D & Touring Strategy,"£22,910",26-Sep-23,September,Q2,South East,Huntingdonshire,Theatre,"£30,000 and below",
Mrs Bakers Medway Theatre Company Ltd,"Mrs Baker's Wave, 2023","£29,800",26-Sep-23,September,Q2,South East,Medway,Combined arts,"£30,000 and below",
Afri-Co-Lab,When The Day- A Co-Created Community Performance Project,"£27,600",26-Sep-23,September,Q2,South East,Hastings,Theatre,"£30,000 and below",
Murmuration Arts Production CIC,Creative Writing Extension Project Crawley and Whitehawk,"£29,891",26-Sep-23,September,Q2,South East,Brighton and Hove,Combined arts,"£30,000 and below",
Made It Happen Ltd,Diversify The Jam,"£29,188",27-Sep-23,September,Q2,South West,"Bristol, City of",Music,"£30,000 and below",Supporting Grassroots Live Music
Mechanimal,"YouSmash: engaging communities in mining, technology and climate change","£30,000",27-Sep-23,September,Q2,South West,"Bristol, City of",Theatre,"£30,000 and below",
Action Hero,Rebel Resistors Radio Club final prototype phase,"£28,505",27-Sep-23,September,Q2,South West,South Gloucestershire,Theatre,"£30,000 and below",
awen,Creative Voices Cornwall,"£19,270",27-Sep-23,September,Q2,South West,Cornwall,Combined arts,"£30,000 and below",
Theatre West,Gluck's Flowers,"£24,155",27-Sep-23,September,Q2,South West,"Bristol, City of",Theatre,"£30,000 and below",
Sarah Kim Fielding,The Pig R and D.,"£30,625",27-Sep-23,September,Q2,South West,Bath and North East Somerset,Theatre,"£30,000 and below",
John Row,Pootling Through (resubmission),"£22,600",27-Sep-23,September,Q2,South West,Swindon,Literature,"£30,000 and below",
Mayfield Records,Linking Up,"£26,578",27-Sep-23,September,Q2,South West,Portsmouth,Music,"£30,000 and below",Supporting Grassroots Live Music
Fallen Angels Dance Theatre,Stories of Recovery,"£36,326",27-Sep-23,September,Q2,North,Cheshire West and Chester,Dance,"£30,000 and below",
Beth Bowden,Right of Way - South West Tour,"£23,165",27-Sep-23,September,Q2,South West,North Devon,Theatre,"£30,000 and below",
Prodigal Theatre,Consols & Adventurers,"£8,000",27-Sep-23,September,Q2,South West,Cornwall,Not discipline specific,"£30,000 and below",
Blackfest Limited,BlackFest 23,"£30,000",27-Sep-23,September,Q2,North,Liverpool,Combined arts,"£30,000 and below",
TimbaDash Theatre,Wintry Night,"£23,600",27-Sep-23,September,Q2,North,North Tyneside,Theatre,"£30,000 and below",
Amy Baxter,Maternal Jounrnal,"£1,140",27-Sep-23,September,Q2,North,Leeds,Visual arts,"£30,000 and below",
Umar Butt,Welcome to the Jungle tour 2024,"£26,500",27-Sep-23,September,Q2,North,Stockton-on-Tees,Theatre,"£30,000 and below",
Mike McGrother,Blind Tiger,"£12,669",27-Sep-23,September,Q2,North,Stockton-on-Tees,Music,"£30,000 and below",
Displace Yourself Theatre,A World Without Death,"£32,487",27-Sep-23,September,Q2,North,Bradford,Theatre,"£30,000 and below",
RivelinCo Creative,Gathering Ground - Winter & Spring Intergenerational Culture Programme,"£30,000",27-Sep-23,September,Q2,North,Sheffield,Combined arts,"£30,000 and below",
Tomoko Freeman,Tea and Sugarcane,"£3,800",27-Sep-23,September,Q2,North,Liverpool,Visual arts,"£30,000 and below",
Imogen Reeve,We are the World,"£27,920",27-Sep-23,September,Q2,South West,Leeds,Dance,"£30,000 and below",
Patricia Galligan,Art in the Woods,"£1,500",27-Sep-23,September,Q2,London,Sutton,Visual arts,"£30,000 and below",
Laura Duckett,Joseph and Celia R&D,"£14,848",27-Sep-23,September,Q2,London,Camden,Theatre,"£30,000 and below",
Lindsey Higgins,The Limitless Circus,"£29,147",27-Sep-23,September,Q2,London,Redbridge,Theatre,"£30,000 and below",
Uliana Apatina,Alien AI #000003,"£27,950",27-Sep-23,September,Q2,London,Southwark,Visual arts,"£30,000 and below",
Michael Oladele,Werk The Floor 2023,"£11,439",27-Sep-23,September,Q2,London,Lambeth,Dance,"£30,000 and below",
Nathan Powell,Razor Clam R & D,"£6,523",27-Sep-23,September,Q2,North,Liverpool,Theatre,"£30,000 and below",
Intermission Youth,Taming Who? and Excluded!,"£29,000",27-Sep-23,September,Q2,London,Westminster,Theatre,"£30,000 and below",
New Diorama,New Diorama Theatre (NDT) Artist Development 2023-24: ‘Covid-era’ young artist support programme,"£29,475",27-Sep-23,September,Q2,London,Camden,Theatre,"£30,000 and below",
Little Fish Theatre CIC,"Developing new partnerships outside London, Organisational Development, new progression pathways and schools outreach","£30,000",27-Sep-23,September,Q2,London,Greenwich,Theatre,"£30,000 and below",
Nicole Zisman,"RESUBMISSION: Artist Residency, Sarabande Foundation (Tottenham)","£8,073",27-Sep-23,September,Q2,London,Haringey,Visual arts,"£30,000 and below",
Nikhil Vyas,Mosinee Project R&D,"£15,715",27-Sep-23,September,Q2,London,Islington,Theatre,"£30,000 and below",
Sewing Cafe Lancaster,River Tours: The Lune (revised),"£7,803",27-Sep-23,September,Q2,North,Lancaster,Theatre,"£30,000 and below",
Pompey Supporters Trust,Jimmy Dickinson Statue,"£25,000",27-Sep-23,September,Q2,South West,Portsmouth,Visual arts,"£30,000 and below",
5x5x5=creativity/House of Imagination,Artists Network Development,"£29,800",27-Sep-23,September,Q2,South West,Wiltshire,Combined arts,"£30,000 and below",
Eliot Smith Company,THE THREE JOLLY GHOSTS OF CHRISTMAS,"£25,000",27-Sep-23,September,Q2,North,Gateshead,Dance,"£30,000 and below",
Hannah Lowe,Moy: In Search of Nelsa Lowe,"£18,275",28-Sep-23,September,Q2,London,Haringey,Visual arts,"£30,000 and below",
Mathilde Frej Klit Hansen,Explore creativity and imagination on Stepney city farm,"£3,291",28-Sep-23,September,Q2,London,Tower Hamlets,Visual arts,"£30,000 and below",
Lewisham Arthouse,Lewisham Arthouse Graduate Awarrd 2023,"£24,732",28-Sep-23,September,Q2,London,Lewisham,Visual arts,"£30,000 and below",
Associate Artists Group,Art / Work Association: 2024/5,"£30,000",28-Sep-23,September,Q2,London,Tower Hamlets,Visual arts,"£30,000 and below",
Catherine March,In Our Own Time & Space,"£14,900",28-Sep-23,September,Q2,London,Hackney,Combined arts,"£30,000 and below",
Julia Masli,ouch,"£28,000",28-Sep-23,September,Q2,London,Haringey,Theatre,"£30,000 and below",
Blind Summit Education,Sex Lives of Puppets,"£29,000",28-Sep-23,September,Q2,London,Lambeth,Theatre,"£30,000 and below",
Stella Howard,Dance for Wellbeing,"£14,290",28-Sep-23,September,Q2,London,Newham,Dance,"£30,000 and below",
Veaceslav Cebotari,Dad Is Not My Friend,"£27,418",28-Sep-23,September,Q2,London,Redbridge,Theatre,"£30,000 and below",
Rosetta Art Centre CIO,Newham’s Place Partnership,"£450,000",28-Sep-23,September,Q2,London,Newham,Visual arts,"Above £30,000 - Place Partnership project",NULL
Eva Recacha Garcia,The Picnic - Resubmission,"£44,999",2-Oct-23,October,Q3,London,Hackney,Dance,"Above £30,000",
Oake Entertainment,Live Music to Live Better Too,"£49,992",2-Oct-23,October,Q3,London,Hackney,Music,"Above £30,000",
ESP Muisc Ltd,Ampletude Assembly Kilifi,"£28,468",3-Oct-23,October,Q3,London,Barnet,Music,"£30,000 and below",
